@RELATION PBDNN

@ATTRIBUTE NN-5	numeric
@ATTRIBUTE NN-4	numeric
@ATTRIBUTE NN-3	numeric
@ATTRIBUTE NN-2	numeric
@ATTRIBUTE NN-1	numeric
@ATTRIBUTE NN0	numeric
@ATTRIBUTE NN1	numeric
@ATTRIBUTE NN10	numeric
@ATTRIBUTE NN11	numeric
@ATTRIBUTE NN12	numeric
@ATTRIBUTE NN13	numeric
@ATTRIBUTE NN14	numeric
@ATTRIBUTE NN15	numeric
@ATTRIBUTE class	numeric

@DATA
-1.450000000, -0.880000000, -1.000000000, -1.450000000, -1.840000000, -1.840000000, -11.990000000, -1.450000000, -1.300000000, -1.440000000, -1.840000000, -1.840000000, -1.280000000, 2303.901041667
-1.280000000, -1.440000000, -1.000000000, -1.000000000, -1.300000000, -1.280000000, -10.760000000, -1.280000000, -1.000000000, -1.000000000, -0.580000000, -0.880000000, -1.450000000, 3301.218750000
-1.440000000, -1.000000000, -1.000000000, -1.000000000, -1.450000000, -1.840000000, -14.610000000, -2.240000000, -1.840000000, -2.170000000, -1.300000000, -1.440000000, -1.450000000, 847.984375000
-1.280000000, -1.840000000, -2.240000000, -2.170000000, -1.300000000, -0.880000000, -11.270000000, -1.300000000, -2.170000000, -1.440000000, -1.450000000, -1.300000000, -1.000000000, 4284.609375000
-1.440000000, -2.170000000, -1.300000000, -1.000000000, -1.000000000, -1.000000000, -12.200000000, -1.440000000, -1.450000000, -1.440000000, -1.000000000, -0.580000000, -0.880000000, 2194.369791667
-1.280000000, -2.240000000, -1.450000000, -1.440000000, -1.840000000, -1.450000000, -10.940000000, -1.000000000, -0.580000000, -0.880000000, -0.580000000, -1.280000000, -1.440000000, 3842.098958333
-1.450000000, -1.440000000, -1.450000000, -1.000000000, -1.000000000, -1.000000000, -12.830000000, -1.450000000, -1.280000000, -1.840000000, -1.440000000, -1.000000000, -1.450000000, 2487.833333333
-1.280000000, -1.450000000, -1.440000000, -1.450000000, -1.300000000, -1.000000000, -15.790000000, -1.280000000, -1.450000000, -1.300000000, -1.280000000, -1.440000000, -1.450000000, 608.734375000
-2.170000000, -1.840000000, -1.440000000, -1.450000000, -2.240000000, -2.170000000, -12.900000000, -0.880000000, -1.000000000, -1.450000000, -1.300000000, -0.880000000, -1.000000000, 2545.135416667
-2.170000000, -1.440000000, -1.300000000, -1.450000000, -1.280000000, -2.240000000, -10.970000000, -1.000000000, -1.280000000, -1.300000000, -0.880000000, -1.450000000, -2.240000000, 4470.661458333
-1.000000000, -1.000000000, -0.880000000, -0.580000000, -1.280000000, -1.300000000, -10.820000000, -1.000000000, -1.000000000, -1.000000000, -1.000000000, -0.880000000, -1.000000000, 4889.583333333
-1.000000000, -1.000000000, -0.580000000, -1.440000000, -1.450000000, -1.000000000, -11.940000000, -1.440000000, -2.170000000, -2.240000000, -1.840000000, -1.450000000, -1.000000000, 2420.276041667
-2.240000000, -1.280000000, -1.450000000, -1.840000000, -2.240000000, -1.450000000, -11.590000000, -1.840000000, -1.300000000, -1.280000000, -2.240000000, -1.280000000, -1.000000000, 2723.697916667
-2.170000000, -1.440000000, -1.300000000, -1.840000000, -2.170000000, -1.300000000, -12.740000000, -2.170000000, -1.840000000, -2.240000000, -1.840000000, -2.170000000, -2.240000000, 1701.223958333
-1.450000000, -1.440000000, -1.450000000, -1.440000000, -2.170000000, -1.300000000, -12.440000000, -1.000000000, -1.000000000, -1.000000000, -1.440000000, -1.280000000, -1.000000000, 2383.343750000
-0.880000000, -1.000000000, -1.000000000, -1.450000000, -1.840000000, -1.840000000, -12.520000000, -1.000000000, -0.580000000, -1.000000000, -1.280000000, -2.240000000, -1.450000000, 1681.500000000
-1.440000000, -1.450000000, -1.300000000, -1.000000000, -1.000000000, -0.880000000, -12.200000000, -1.000000000, -1.000000000, -1.000000000, -1.000000000, -1.000000000, -1.280000000, 3493.546875000
-1.280000000, -0.580000000, -1.440000000, -1.280000000, -1.300000000, -1.840000000, -15.180000000, -2.240000000, -1.280000000, -0.580000000, -1.000000000, -1.000000000, -1.280000000, 487.994791667
-1.440000000, -2.170000000, -2.240000000, -1.840000000, -1.450000000, -0.880000000, -10.940000000, -1.440000000, -1.280000000, -1.300000000, -1.840000000, -1.840000000, -1.840000000, 4213.265625000
-1.300000000, -1.280000000, -1.000000000, -1.000000000, -1.300000000, -2.170000000, -11.510000000, -1.000000000, -1.280000000, -1.300000000, -1.440000000, -1.450000000, -1.000000000, 3089.786458333
-0.580000000, -0.880000000, -1.300000000, -1.840000000, -1.450000000, -1.440000000, -12.330000000, -1.000000000, -1.000000000, -1.000000000, -0.580000000, -0.880000000, -0.580000000, 1824.255208333
-0.880000000, -1.450000000, -1.840000000, -1.440000000, -1.000000000, -1.450000000, -12.840000000, -1.450000000, -1.280000000, -1.300000000, -1.000000000, -1.280000000, -1.300000000, 2441.234375000
-1.280000000, -1.000000000, -1.000000000, -1.000000000, -1.000000000, -1.000000000, -14.210000000, -1.000000000, -1.450000000, -1.440000000, -0.580000000, -1.280000000, -1.840000000, 1723.843750000
