@RELATION PBDNN

@ATTRIBUTE NN-5	numeric
@ATTRIBUTE NN-4	numeric
@ATTRIBUTE NN-3	numeric
@ATTRIBUTE NN-2	numeric
@ATTRIBUTE NN-1	numeric
@ATTRIBUTE NN0	numeric
@ATTRIBUTE NN1	numeric
@ATTRIBUTE NN5	numeric
@ATTRIBUTE NN6	numeric
@ATTRIBUTE NN7	numeric
@ATTRIBUTE NN8	numeric
@ATTRIBUTE NN9	numeric
@ATTRIBUTE NN10	numeric
@ATTRIBUTE class	numeric

@DATA
-1.840000000, -1.840000000, -1.300000000, -1.000000000, -1.440000000, -2.170000000, -5.860000000, -1.000000000, -1.450000000, -2.240000000, -1.280000000, -1.450000000, -1.840000000, 17184.671875000
-1.440000000, -1.450000000, -1.440000000, -1.300000000, -2.170000000, -1.840000000, -6.990000000, -1.440000000, -1.300000000, -1.280000000, -1.450000000, -1.440000000, -1.300000000, 11220.500000000
-1.280000000, -1.450000000, -1.440000000, -1.300000000, -1.280000000, -1.300000000, -5.470000000, -1.840000000, -2.240000000, -1.280000000, -0.580000000, -0.880000000, -1.300000000, 18167.750000000
-1.280000000, -1.840000000, -1.440000000, -1.000000000, -1.450000000, -1.840000000, -6.170000000, -1.000000000, -1.300000000, -1.280000000, -1.300000000, -1.450000000, -1.440000000, 17334.546875000
-0.880000000, -1.000000000, -1.300000000, -1.450000000, -1.000000000, -0.880000000, -3.580000000, -1.440000000, -2.170000000, -1.440000000, -1.300000000, -1.450000000, -1.280000000, 60984.041666667
-1.440000000, -1.450000000, -1.000000000, -1.000000000, -0.880000000, -1.000000000, -7.370000000, -1.280000000, -1.000000000, -0.580000000, -1.000000000, -1.440000000, -1.840000000, 16440.036458333
-1.450000000, -1.000000000, -0.880000000, -1.000000000, -1.000000000, -1.000000000, -5.630000000, -1.300000000, -1.450000000, -1.280000000, -2.240000000, -1.450000000, -1.000000000, 33452.630208333
-1.840000000, -2.170000000, -1.300000000, -1.000000000, -1.000000000, -1.000000000, -5.970000000, -1.000000000, -1.000000000, -1.280000000, -2.240000000, -1.450000000, -1.000000000, 29730.151041667
-1.280000000, -1.300000000, -1.450000000, -0.880000000, -1.000000000, -1.000000000, -5.030000000, -2.240000000, -1.450000000, -0.880000000, -1.300000000, -1.450000000, -0.880000000, 31595.104166667
-2.170000000, -2.240000000, -1.450000000, -1.440000000, -1.840000000, -1.450000000, -4.770000000, -0.580000000, -1.000000000, -0.880000000, -1.300000000, -1.450000000, -1.280000000, 33477.281250000
-1.840000000, -1.450000000, -0.880000000, -1.450000000, -1.300000000, -0.880000000, -3.760000000, -1.280000000, -0.580000000, -1.000000000, -1.280000000, -1.300000000, -1.000000000, 44847.588541667
-1.840000000, -1.840000000, -1.440000000, -1.450000000, -1.840000000, -1.440000000, -4.750000000, -1.300000000, -1.440000000, -1.280000000, -0.580000000, -0.880000000, -1.000000000, 24225.093750000
-1.450000000, -1.440000000, -1.450000000, -1.440000000, -0.580000000, -1.280000000, -5.330000000, -0.580000000, -0.880000000, -1.450000000, -2.240000000, -1.840000000, -1.450000000, 35635.848958333
-1.450000000, -1.440000000, -1.840000000, -1.280000000, -1.000000000, -1.000000000, -6.750000000, -1.450000000, -2.240000000, -2.170000000, -2.240000000, -2.170000000, -1.440000000, 14079.296875000
-1.440000000, -1.840000000, -2.170000000, -1.300000000, -1.000000000, -1.000000000, -4.770000000, -1.450000000, -2.240000000, -1.280000000, -0.580000000, -1.000000000, -1.000000000, 41580.125000000
-1.000000000, -1.000000000, -1.300000000, -2.170000000, -1.840000000, -1.300000000, -6.750000000, -1.440000000, -1.450000000, -1.440000000, -2.170000000, -1.840000000, -1.300000000, 14311.989583333
