@RELATION PBDNN

@ATTRIBUTE NN-5	numeric
@ATTRIBUTE NN-4	numeric
@ATTRIBUTE NN-3	numeric
@ATTRIBUTE NN-2	numeric
@ATTRIBUTE NN-1	numeric
@ATTRIBUTE NN0	numeric
@ATTRIBUTE NN1	numeric
@ATTRIBUTE NN15	numeric
@ATTRIBUTE NN16	numeric
@ATTRIBUTE NN17	numeric
@ATTRIBUTE NN18	numeric
@ATTRIBUTE NN19	numeric
@ATTRIBUTE NN20	numeric
@ATTRIBUTE class	numeric

@DATA
-1.280000000, -0.580000000, -0.880000000, -1.000000000, -1.450000000, -1.300000000, -17.850000000, -1.450000000, -1.300000000, -1.280000000, -2.240000000, -2.170000000, -1.300000000, 489.942708333
-1.450000000, -1.440000000, -1.840000000, -2.170000000, -1.440000000, -1.450000000, -21.720000000, -2.240000000, -1.450000000, -1.280000000, -2.240000000, -1.450000000, -1.440000000, 64.578125000
-0.880000000, -0.580000000, -1.280000000, -2.240000000, -2.170000000, -2.240000000, -19.450000000, -1.000000000, -1.450000000, -1.300000000, -1.440000000, -1.840000000, -1.840000000, 175.958333333
-1.840000000, -2.170000000, -2.240000000, -1.280000000, -1.450000000, -2.240000000, -24.050000000, -1.280000000, -1.840000000, -2.240000000, -2.170000000, -1.840000000, -1.840000000, 27.276041667
-2.170000000, -1.840000000, -1.300000000, -1.280000000, -1.440000000, -0.580000000, -19.250000000, -0.880000000, -0.580000000, -1.000000000, -1.280000000, -1.840000000, -1.440000000, 335.557291667
-0.580000000, -0.880000000, -0.580000000, -1.280000000, -1.300000000, -1.440000000, -19.070000000, -2.170000000, -1.840000000, -1.440000000, -1.450000000, -2.240000000, -2.170000000, 216.239583333
-1.300000000, -1.000000000, -1.000000000, -1.440000000, -1.840000000, -2.170000000, -22.050000000, -1.000000000, -1.280000000, -2.240000000, -1.840000000, -1.280000000, -1.000000000, 80.020833333
-1.450000000, -1.300000000, -1.000000000, -0.880000000, -0.580000000, -0.880000000, -15.260000000, -0.880000000, -1.000000000, -1.450000000, -1.300000000, -1.000000000, -1.000000000, 1622.588541667
-1.440000000, -1.450000000, -1.440000000, -1.450000000, -1.300000000, -1.440000000, -18.230000000, -0.880000000, -1.450000000, -1.300000000, -1.440000000, -1.450000000, -1.280000000, 340.807291667
-1.280000000, -2.240000000, -2.170000000, -1.300000000, -1.280000000, -1.840000000, -21.420000000, -0.580000000, -0.880000000, -1.300000000, -1.450000000, -1.440000000, -1.840000000, 112.125000000
-1.000000000, -1.000000000, -1.000000000, -0.580000000, -1.280000000, -1.300000000, -22.720000000, -1.280000000, -1.000000000, -1.000000000, -0.580000000, -0.880000000, -1.300000000, 69.109375000
-1.280000000, -1.300000000, -1.840000000, -2.170000000, -1.840000000, -2.240000000, -17.910000000, -1.000000000, -1.280000000, -1.440000000, -0.580000000, -1.280000000, -1.440000000, 295.328125000
-2.170000000, -2.240000000, -1.280000000, -0.580000000, -1.000000000, -0.880000000, -18.570000000, -1.450000000, -1.000000000, -1.440000000, -1.450000000, -1.280000000, -2.240000000, 271.208333333
-1.840000000, -1.450000000, -1.000000000, -1.280000000, -1.840000000, -1.300000000, -18.830000000, -1.280000000, -1.440000000, -1.450000000, -1.440000000, -1.000000000, -0.580000000, 237.390625000
-1.440000000, -1.300000000, -2.170000000, -1.840000000, -2.240000000, -1.280000000, -20.270000000, -1.440000000, -0.580000000, -1.000000000, -0.880000000, -1.300000000, -2.170000000, 119.364583333
-1.000000000, -0.580000000, -0.880000000, -1.450000000, -1.840000000, -1.440000000, -20.900000000, -2.240000000, -1.840000000, -2.170000000, -1.300000000, -1.440000000, -1.450000000, 126.781250000
