@RELATION Infoplasmid

@ATTRIBUTE att1 numeric
@ATTRIBUTE att2 numeric
@ATTRIBUTE att3 numeric
@ATTRIBUTE att4 numeric
@ATTRIBUTE att5 numeric
@ATTRIBUTE att6 numeric
@ATTRIBUTE att7 numeric
@ATTRIBUTE att8 numeric
@ATTRIBUTE att9 numeric
@ATTRIBUTE att10 numeric
@ATTRIBUTE att11 numeric
@ATTRIBUTE att12 numeric
@ATTRIBUTE att13 numeric
@ATTRIBUTE att14 numeric
@ATTRIBUTE att15 numeric
@ATTRIBUTE att16 numeric
@ATTRIBUTE class {F,P,Q,V}

@DATA
58.610000000, -10.865000000, -12.498000000, 0.456700000, 46.260000000, 9785.397700000, 50.860000000, 48.630000000, 40.080000000, -0.824700000, 48.443688641, -16.446000000, -0.078300000, -12.303000000, -13.457000000, 39.080000000, F
41.290000000, -15.869000000, -13.371000000, 0.219600000, 47.110000000, 1196.448800000, 48.390000000, 48.140000000, 51.770000000, -0.117700000, 50.049871013, -12.069000000, -0.101600000, -13.664000000, -14.788000000, 51.940000000, V
55.670000000, -13.421000000, -15.109000000, 0.112500000, 53.540000000, 2753.563800000, 48.940000000, 41.930000000, 47.940000000, -0.781700000, 47.520010040, -15.706000000, -0.512200000, -13.111000000, -14.410000000, 43.460000000, P
47.800000000, -16.645000000, -12.830000000, -0.319100000, 47.310000000, 755.214800000, 54.120000000, 51.380000000, 59.020000000, -0.397200000, 47.912487811, -13.738000000, -0.196700000, -15.674000000, -12.938000000, 40.310000000, P
48.120000000, -17.600000000, -13.235000000, -0.053500000, 45.490000000, 522.338600000, 54.990000000, 58.210000000, 57.410000000, 0.354000000, 49.297766447, -13.449000000, 0.022700000, -16.886000000, -14.956000000, 45.620000000, P
40.670000000, -16.204000000, -14.102000000, -0.164000000, 51.280000000, 933.521800000, 41.510000000, 48.130000000, 55.970000000, -0.191200000, 52.611391566, -12.045000000, -0.195200000, -12.784000000, -13.070000000, 45.740000000, Q
56.280000000, -11.104000000, -12.599000000, 0.388900000, 48.160000000, 6755.459200000, 55.770000000, 45.190000000, 38.630000000, -0.880500000, 48.510677984, -14.606000000, -0.025000000, -13.539000000, -15.365000000, 41.970000000, F
51.850000000, -12.204000000, -14.755000000, -0.239300000, 52.050000000, 4229.655000000, 51.520000000, 62.780000000, 47.170000000, -0.270700000, 48.880459768, -13.077000000, -0.221300000, -17.302000000, -13.011000000, 42.060000000, P
44.280000000, -13.477000000, -16.427000000, 0.266700000, 56.280000000, 2752.113800000, 57.030000000, 59.560000000, 42.360000000, -0.282600000, 46.334141589, -13.091000000, 0.123500000, -16.892000000, -16.793000000, 40.310000000, P
50.110000000, -10.910000000, -14.625000000, -0.236800000, 54.050000000, 7490.346800000, 38.290000000, 35.300000000, 42.770000000, -0.655000000, 50.154489071, -13.642000000, -0.711500000, -8.504000000, -12.295000000, 49.990000000, F
